Metric,Value
Interview Duration,156.68 seconds
Maximum Simultaneous Faces,3
Off-Screen Duration,9.45 seconds
Average Head Rotation,6.92 degrees

Violations,
Multiple Faces Detected,261
Face Off-Screen Instances,52
Excessive Head Rotation Instances,16
Identity Verification Failed,False
Identity Mismatch Count,0

MediaPipe Emotion Percentages,
browInnerUp,14.31%
jawForward,0.02%
jawOpen,0.98%
mouthPucker,29.65%

DeepFace Analysis,
Emotion,Percentage
angry,4.88%
disgust,0.18%
fear,15.25%
happy,15.01%
sad,14.26%
surprise,1.47%
neutral,48.96%
Gender,Percentage
Man,0.00%
Woman,0.00%
Race,Percentage
asian,0.00%
indian,0.00%
black,0.00%
white,0.00%
middle eastern,0.00%
latino hispanic,0.00%
Average Age,0.00
Average Face Confidence,0.00
Face Detection Rate,31.65%
Analyzed Frames,357
Valid Face Detections,113
