Metric,Value
Interview Duration,178.20 seconds
Maximum Simultaneous Faces,3
Off-Screen Duration,8.58 seconds
Average Head Rotation,2.87 degrees

Violations,
Multiple Faces Detected,217
Face Off-Screen Instances,46
Excessive Head Rotation Instances,1
Identity Verification Failed,False
Identity Mismatch Count,0

MediaPipe Emotion Percentages,
browInnerUp,7.27%
jawForward,0.01%
jawOpen,1.05%
mouthPucker,30.89%

DeepFace Analysis,
Emotion,Percentage
angry,0.52%
disgust,0.00%
fear,7.11%
happy,1.18%
sad,4.43%
surprise,0.04%
neutral,86.73%
Gender,Percentage
Man,0.00%
Woman,0.00%
Race,Percentage
asian,0.00%
indian,0.00%
black,0.00%
white,0.00%
middle eastern,0.00%
latino hispanic,0.00%
Average Age,0.00
Average Face Confidence,0.00
Face Detection Rate,18.07%
Analyzed Frames,393
Valid Face Detections,71
