Metric,Value
Interview Duration,26.91 seconds
Maximum Simultaneous Faces,1
Off-Screen Duration,26.91 seconds
Average Head Rotation,-90.34 degrees
,
Violations,
Multiple Faces Detected,0
Face Off-Screen Instances,462
Excessive Head Rotation Instances,462
,
Emotion Percentages,
browDownLeft,0.56%
browDownRight,0.55%
browInnerUp,14.80%
browOuterUpLeft,37.98%
browOuterUpRight,26.42%
eyeSquintLeft,32.73%
eyeSquintRight,30.65%
jawForward,0.01%
jawOpen,3.21%
mouthFrownLeft,0.50%
mouthFrownRight,0.71%
mouthPucker,57.20%
mouthSmileLeft,0.01%
mouthSmileRight,0.00%
