Metric,Value
Interview Duration,24.31 seconds
Maximum Simultaneous Faces,2
Off-Screen Duration,32.72 seconds
Average Head Rotation,-91.88 degrees
,
Violations,
Multiple Faces Detected,201
Face Off-Screen Instances,842
Excessive Head Rotation Instances,842
,
Emotion Percentages,
browDownLeft,1.46%
browDownRight,1.41%
browInnerUp,11.29%
browOuterUpLeft,32.16%
browOuterUpRight,24.34%
eyeSquintLeft,31.45%
eyeSquintRight,16.06%
jawForward,0.01%
jawOpen,2.39%
mouthFrownLeft,0.46%
mouthFrownRight,0.56%
mouthPucker,51.63%
mouthSmileLeft,1.49%
mouthSmileRight,1.20%
